Date,DepartureDate,DestinationDate,DestinationTime,BusId,Source,Destination,Ticket,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
20-07-2024,11:00,21-07-2024,06:00,1234,Delhi,Goa,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-07-2024,10:00,21-07-2024,06:00,8476,Delhi,Goa,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-07-2024,11:00,21-07-2024,06:00,9410,Delhi,Goa,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-07-2024,07:00,21-07-2024,15:00,1255,Goa,Delhi,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-07-2024,08:00,21-07-2024,16:00,1111,Goa,Delhi,700,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-07-2024,11:00,21-07-2024,06:00,5522,Goa,Delhi,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-07-2024,10:00,22-07-2024,06:00,8476,Delhi,Goa,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-07-2024,11:00,22-07-2024,06:00,9410,Delhi,Goa,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-07-2024,11:00,22-07-2024,06:00,1234,Delhi,Goa,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-07-2024,07:00,22-07-2024,15:00,1255,Goa,Delhi,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-07-2024,08:00,22-07-2024,16:00,1111,Goa,Delhi,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-07-2024,11:00,22-07-2024,06:00,5522,Goa,Delhi,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-07-2024,10:00,23-07-2024,06:00,8476,Delhi,Goa,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-07-2024,11:00,23-07-2024,06:00,9410,Delhi,Goa,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-07-2024,10:00,24-07-2024,06:00,8476,Delhi,Goa,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-07-2024,11:00,24-07-2024,06:00,9410,Delhi,Goa,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
